Ewe/V	<I>/mA	time/s
2.9616904E+000	3.602833771847623E-001	8.699999780219514E+002
2.9633512E+000	3.602830410181335E-001	8.749999778956408E+002
2.9652412E+000	3.602828441177608E-001	8.799999777693301E+002
2.9671121E+000	3.602835041486193E-001	8.849999776430195E+002
2.9689829E+000	3.602831406782941E-001	8.899999775167089E+002
2.9706821E+000	3.602853082489399E-001	8.949999773903983E+002
2.9726293E+000	3.602838358139052E-001	8.999999772640876E+002
2.9744048E+000	3.602817604146923E-001	9.049999771377770E+002
2.9761612E+000	3.602820938037445E-001	9.099999770114664E+002
2.9779747E+000	3.602813649021014E-001	9.149999768851558E+002
2.9799793E+000	3.602819426797402E-001	9.199999767588452E+002
2.9816401E+000	3.602834615539470E-001	9.249999766325345E+002
2.9837019E+000	3.602813277409888E-001	9.299999765062239E+002
2.9854393E+000	3.602798564658604E-001	9.349999763799133E+002
2.9872911E+000	3.602796078846831E-001	9.399999762536027E+002
2.9890091E+000	3.602801550672568E-001	9.449999761272920E+002
2.9909372E+000	3.602800689421193E-001	9.499999760009814E+002
2.9926555E+000	3.602812477980450E-001	9.549999758746708E+002
2.9943926E+000	3.602816909359404E-001	9.599999757483602E+002
2.9962826E+000	3.602825644432237E-001	9.649999756220495E+002
2.9981534E+000	3.602825080894149E-001	9.699999754957389E+002
2.9996998E+000	3.602829997276109E-001	9.749999753694283E+002
3.0014944E+000	3.602831166349720E-001	9.799999752431177E+002
3.0033844E+000	3.602832060490940E-001	9.849999751168070E+002
3.0050261E+000	3.602823877667075E-001	9.899999749904964E+002
3.0068207E+000	3.602838535129088E-001	9.949999748641858E+002
3.0083861E+000	3.602814117823478E-001	9.999999747378752E+002
3.0102189E+000	3.602848290812280E-001	1.004999974611565E+003
3.0119944E+000	3.602827716027481E-001	1.009999974485254E+003
3.0135598E+000	3.602823112414942E-001	1.014999974358943E+003
3.0153732E+000	3.602836522888151E-001	1.019999974232633E+003
3.0168624E+000	3.602833452998528E-001	1.024999974106322E+003
3.0187333E+000	3.602849609469711E-001	1.029999973980011E+003
3.0202606E+000	3.602851107441761E-001	1.034999973853701E+003
3.0219023E+000	3.602860421335314E-001	1.039999973727390E+003
3.0236204E+000	3.602870621800298E-001	1.044999973601080E+003
3.0252814E+000	3.602865774059048E-001	1.049999973474769E+003
3.0269613E+000	3.602869263279279E-001	1.054999973348458E+003
3.0285459E+000	3.602877887404023E-001	1.059999973222148E+003
3.0301685E+000	3.602883713579383E-001	1.064999973095837E+003
3.0317721E+000	3.602883935392114E-001	1.069999972969526E+003
3.0332804E+000	3.602875073051440E-001	1.074999972843216E+003
3.0349603E+000	3.602871110117323E-001	1.079999972716905E+003
3.0366020E+000	3.602874296557871E-001	1.084999972590595E+003
3.0381293E+000	3.602864671194278E-001	1.089999972464284E+003
3.0397711E+000	3.602859505712580E-001	1.094999972337973E+003
3.0414131E+000	3.602855649804566E-001	1.099999972211663E+003
3.0429592E+000	3.602845926975455E-001	1.104999972085352E+003
3.0442765E+000	3.602848958181663E-001	1.109999971959041E+003
3.0459375E+000	3.602839349185505E-001	1.114999971832731E+003
3.0475793E+000	3.602815747903266E-001	1.119999971706420E+003
3.0490110E+000	3.602831830190507E-001	1.124999971580110E+003
3.0505002E+000	3.602840310393873E-001	1.129999971453799E+003
3.0521228E+000	3.602857520436785E-001	1.134999971327488E+003
3.0534401E+000	3.602857293235794E-001	1.139999971201178E+003
3.0549099E+000	3.602832281862596E-001	1.144999971074867E+003
3.0565138E+000	3.602838805841471E-001	1.149999970948556E+003
3.0578883E+000	3.602842343627567E-001	1.154999970822246E+003
3.0594919E+000	3.602842988311422E-001	1.159999970695935E+003
3.0609045E+000	3.602848849510472E-001	1.164999970569625E+003
3.0623746E+000	3.602829208253643E-001	1.169999970443314E+003
3.0637109E+000	3.602846094214172E-001	1.174999970317003E+003
3.0653145E+000	3.602845080291455E-001	1.179999970190693E+003
3.0668609E+000	3.602843529521609E-001	1.184999970064382E+003
3.0681016E+000	3.602840302800241E-001	1.189999969938071E+003
3.0694952E+000	3.602826707528787E-001	1.194999969811761E+003
3.0709653E+000	3.602823248599638E-001	1.199999969685450E+003
3.0724545E+000	3.602828200410600E-001	1.204999969559140E+003
3.0737908E+000	3.602817883406612E-001	1.209999969432829E+003
3.0752225E+000	3.602805269954812E-001	1.214999969306518E+003
3.0765779E+000	3.602829257582448E-001	1.219999969180208E+003
3.0779715E+000	3.602830426179222E-001	1.224999969053897E+003
3.0792696E+000	3.602826758681494E-001	1.229999968927586E+003
3.0807397E+000	3.602805798588420E-001	1.234999968801276E+003
3.0818279E+000	3.602796175859353E-001	1.239999968674965E+003
3.0831261E+000	3.602802908573699E-001	1.244999968548655E+003
3.0846150E+000	3.602809775040872E-001	1.249999968422344E+003
3.0860088E+000	3.602812141202277E-001	1.254999968296033E+003
3.0874214E+000	3.602820257364306E-001	1.259999968169723E+003
3.0887768E+000	3.602839406954328E-001	1.264999968043412E+003
3.0899222E+000	3.602838516162890E-001	1.269999967917101E+003
3.0912588E+000	3.602820877932120E-001	1.274999967790791E+003
3.0924804E+000	3.602830093847557E-001	1.279999967664480E+003
3.0938168E+000	3.602830568717773E-001	1.284999967538170E+003
3.0951912E+000	3.602806553111717E-001	1.289999967411859E+003
3.0966041E+000	3.602827870916115E-001	1.294999967285548E+003
3.0979023E+000	3.602821095679814E-001	1.299999967159238E+003
3.0990286E+000	3.602825483702348E-001	1.304999967032927E+003
3.1003077E+000	3.602812473676995E-001	1.309999966906616E+003
3.1016631E+000	3.602824312804834E-001	1.314999966780306E+003
3.1028275E+000	3.602820414362945E-001	1.319999966653995E+003
3.1039538E+000	3.602807524095247E-001	1.324999966527685E+003
3.1053286E+000	3.602797693357884E-001	1.329999966401374E+003
3.1066649E+000	3.602813308320856E-001	1.334999966275063E+003
3.1077912E+000	3.602818987034322E-001	1.339999966148753E+003
3.1089556E+000	3.602815947721882E-001	1.344999966022442E+003
3.1102538E+000	3.602799732671252E-001	1.349999965896131E+003
3.1114566E+000	3.602803379438484E-001	1.354999965769821E+003
3.1125829E+000	3.602802054224541E-001	1.359999965643510E+003
3.1137855E+000	3.602811830328285E-001	1.364999965517200E+003
3.1151221E+000	3.602802755163261E-001	1.369999965390889E+003
3.1163628E+000	3.602805840144780E-001	1.374999965264578E+003
3.1172984E+000	3.602784101722313E-001	1.379999965138268E+003
3.1185775E+000	3.602787915346792E-001	1.384999965011957E+003
3.1198754E+000	3.602797066615029E-001	1.389999964885646E+003
